Name,Specialisation,City,Hospital/Clinic,Experience,Padma_Vibhushan,Padma_Bhushan,Padma_Shri,Dhanvantari_Award,BC_Roy_National_Award,Other_Awards
Dr. H.S. Raswan,General Surgeon, Pathankot," Amandeep Hospital, Pathankot",40,0,0,0,0,0,5
Dr. Nikhil Baljekar,General Surgeon, Mumbai," Apollo Spectra Hospital, Mumbai",34,0,0,0,0,0,7
Dr. Sivakami Gopinath,Gynaecologist and Obstetrician, Chennai,", IVF Specialist",0,0,0,0,0,0,1
Dr. P M Gopinath ,Gynaecologist and Obstetrician, Chennai,", Infertility Specialist",0,0,0,0,0,0,4
Dr. Gyan Sagar Tucker,Orthopaedic and Joint Replacement Surgeon, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",27,0,0,0,0,0,6
Dr. Manjulata Anchalia,General Surgeon, Gandhinagar," Apollo Hospitals, Ahmedabad",37,0,0,0,0,0,9
Dr. Krishna S Iyer,Pediatric Cardiologist, New Delhi," Fortis Escorts Heart Institute, New Delhi",30,0,0,0,0,0,5
Dr. Nikhil Kumar,Interventional Cardiologist, Gurgaon,  ,26,0,0,0,0,0,4
Dr. K.K.Talwar,Interventional Cardiologist, New Delhi," Max Superspecialty Hospital, Mohali",41,0,1,0,0,0,2
Dr. Col. M Sitaram,Cardiac Surgeon, Hyderabad," Apollo Hospital, Secunderabad",37,0,0,0,0,0,7
Dr. Paul Ravindran Ponraj ,Cardiac Surgeon, Chennai," Vijaya Hospital, Chennai",40,0,0,0,0,0,9
Dr Laila Dave,Gynaecologist and Obstetrician, Mumbai," Apollo Spectra Hospital, Mumbai",34,0,0,0,0,0,1
Dr. Pradeep  Sen,Cosmetic Surgeon, Kolkata,,40,0,0,0,0,0,4
Dr. Aruna Chandrasekhran,Surgical Oncologist, Chennai," Global Hospitals, Chennai",42,0,0,0,0,0,4
Dr Rajesh Mistry ,Surgical Oncologist, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",25,0,0,0,0,0,1
Dr. Kumar Palaniappan,Laparoscopic Surgeon, Chennai," Dr. Rela Institute and Medical Centre, Chennai",12,0,0,0,0,0,3
Dr. Meghal Sanghavi,Oncology,Mumbai," New Age Wockhardt Hospital, Mumbai",0,0,0,0,0,0,3
Dr. Vinod Raina,Medical Oncologist, Gurgaon," Fortis Memorial Research Institute, Gurgaon",37,0,0,0,0,0,4
Dr. Gaurav Mehta,Medical Gastroenterologist, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",10,0,0,0,0,0,7
Dr. Debojit  Kumar Roy,General Surgeon, Kolkata,Advanced Laparoscopic,0,0,0,0,0,0,3
Dr. Shashikant Limbachiya,Oncology,Ahmedabad," Narayana Multispeciality Hospital, Ahmedabad",0,0,0,0,0,0,8
Dr. Muneendra Gupta,General Surgeon, New Delhi," Manipal Hospitals Dwarka, Delhi",42,0,0,0,0,0,5
Dr. S Hukku,Radiation Oncologist, New Delhi,  ,35,0,0,0,0,0,4
Dr. U.K. Sadhoo,Orthopaedic and Joint Replacement Surgeon, New Delhi,,38,0,0,0,0,0,9
Dr. Rakesh Mahajan,Orthopaedic and Joint Replacement Surgeon, New Delhi,Arthoscopy and Sports Medicine,0,0,0,0,0,0,8
Dr. Ambrish Mithal,Endocrinologist, Gurgaon," Max Super Specialty Hospital, Gurgaon",33,0,1,0,0,0,1
Dr Nandkishore Kapadia ,Cardiac Surgeon, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",27,0,0,0,0,0,5
Dr. Chander Mohan,Interventional Radiologist, New Delhi," BLK Super Speciality Hospital, New Delhi",26,0,0,0,0,0,2
Dr. Vineeth Viswam,ENT,Kochi, Aster Medcity Kochi,0,0,0,0,0,0,2
Dr. Nitish Kr Das,Laparoscopic Surgeon, Siliguri," Medica North Bengal Clinic, Siliguri",30,0,0,0,0,0,3
Dr.G. Usha Reddy ,Gynaecologist and Obstetrician, Chennai,", IVF Specialist",0,0,0,0,0,0,2
Dr. Shailesh Raina  ,Endourologist, Mumbai,", Urologist and Andrologist",0,0,0,0,0,0,4
Dr. Saugata Deb,General Surgeon, Kolkata," Ruby General Hospital, Kolkata",32,0,0,0,0,0,2
Dr. (Col.) Sudip Basu,Gynaecologist and Obstetrician, Kolkata,", Infertility Specialist",0,0,0,0,0,0,3
Dr. Satya Gopal Maity,Medical Gastroenterologist, Kolkata," Ruby General Hospital, Kolkata",41,0,0,0,0,0,10
Dr. Anwar Mansuri,Ophthalmologist, Ahmedabad," Centre for Sight Eye Hospital, Navrangpura, Ahmedabad",40,0,0,0,0,0,9
Dr. T. Krishan Thusoo,, Gurgaon," Artemis Hospital, Gurgaon",20,0,0,0,0,0,6
Dr. Rajender Kumar,Oncology, ," Max Super Speciality Hospital, Saket, New Delhi",0,0,0,0,0,0,6
Dr. Arvind Nanda ,Interventional Radiologist, ," BLK Super Speciality Hospital, New Delhi",0,0,0,0,0,0,2
Dr. Neeraj Bhalla,Interventional Cardiologist, New Delhi," BLK Super Speciality Hospital, New Delhi",35,0,0,0,0,0,1
Dr. Tejas P. Dharia,Interventional Radiologist, ," Nanavati Super Specialty Hospital, Mumbai",0,0,0,0,0,0,1
Dr. K. K. Saxena,Interventional Cardiologist, New Delhi,,35,0,0,0,0,0,4
Dr Rajinder Yadav ,Urologist, New Delhi," Fortis Hospital, Shalimar Bagh, New Delhi",43,0,0,0,0,0,5
Dr. Atul Prasad,Neurologist, New Delhi," BLK Super Speciality Hospital, New Delhi",26,0,0,0,0,0,8
Dr. Anoop Raj,ENT Surgeon, Noida,,41,0,0,0,0,0,6
Dr. Bidhu K Mohanti,Radiation Oncologist, Gurgaon,,32,0,0,0,0,0,8
Dr. Tarun Grover,Vascular Surgeon, Gurgaon," Medanta - The Medicity, Gurgaon",21,0,0,0,0,0,4
Dr Ramji Gupta ,Dermatologist, New Delhi," BLK Super Speciality Hospital, New Delhi",42,0,0,0,0,0,5
Dr Anjan Bhattacharya ,Neonatologist, Kolkata," Apollo Gleneagles Hospital, Kolkata",27,0,0,0,0,0,6
Dr Rakesh Tondon ,Medical Gastroenterologist, New Delhi," Paras Hospitals, Gurgaon",51,0,0,0,0,0,1
Dr. (Col.) V K Gupta,Medical Gastroenterologist, New Delhi," Max Super Speciality hospital, Shalimar Bagh, New Delhi",33,0,0,0,0,0,3
Dr. Poonam Gulati,Urologist, Gurgaon," Batra Hospital & Medical Research Centre, New Delhi",21,0,0,0,0,0,7
Dr. Pawan Rawal,Medical Gastroenterologist, Gurgaon," Artemis Hospital, Gurgaon",14,0,0,0,0,0,5
Dr V. Baskaran,Surgical Gastroenterologist, Chennai," MIOT International, Chennai",43,0,0,0,0,0,9
Dr. Sunil Kumar,Interventional Cardiologist, Hyderabad," Apollo Hospital, Hyderguda",37,0,0,0,0,0,7
Dr. Arup Dasbiswas,Interventional Cardiologist, Kolkata," Ruby General Hospital, Kolkata",45,0,0,0,0,0,2
Dr. Balbir Singh,Interventional Cardiologist, Gurgaon," Max Super Speciality Hospital, Saket, New Delhi",28,0,0,0,0,0,4
Dr. Ganesh K. Mani,Cardiac Surgeon, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",37,0,0,1,0,0,6
Dr. Arvinder Singh Soin,Liver Transplant Surgeon, Gurgaon," Medanta - The Medicity, Gurgaon",30,0,0,1,0,0,8
Dr. P. K. Khanna,Interventional Cardiologist, New Delhi," Sir Ganga Ram Hospital, New Delhi",20,0,0,0,0,0,10
Dr Hari Goyal,Medical Oncologist, Gurgaon,  ,23,0,0,0,0,0,1
Dr. Deependra V Singh,Ophthalmologist, New Delhi,  ,16,0,0,0,0,0,6
Dr. R. Narendran,ENT Surgeon, Chennai," MIOT International, Chennai",19,0,0,0,0,0,10
Dr Randhir Sud ,Medical Gastroenterologist, Gurgaon," Medanta - The Medicity, Gurgaon",31,0,0,1,0,0,3
Dr. Amitabha Ghosh,Laparoscopic Surgeon, Kolkata," AMRI Hospital, Kolkata (Dhakuria)",27,0,0,0,0,0,9
Dr. Kumud Rai,Vascular Surgeon, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",32,0,0,0,0,0,8
Dr. Biswarup Mukherjee,ENT Surgeon, Kolkata," AMRI Hospital, Kolkata (Dhakuria)",29,0,0,0,0,0,6
Dr. Nageswara Rao Koneti,Pediatric Cardiologist, Hyderabad," Rainbow Children's Hospital, Hyderabad",26,0,0,0,0,0,10
Dr. Vipul Nanda,Aesthetics and Plastic Surgeon, Gurgaon,  ,0,0,0,0,0,0,6
Dr. Praveen Chandra,Interventional Cardiologist, Gurgaon," Medanta - The Medicity, Gurgaon",30,0,0,1,0,0,2
Dr. Viresh Mahajan,Pediatric Cardiologist, Faridabad,,22,0,0,0,0,0,10
Dr. A Muraleedharan,ENT Surgeon, Chennai,,37,0,0,0,0,0,2
Dr. Alka Kriplani,Gynaecologist and Obstetrician, Gurgaon,", Infertility Specialist",0,0,0,1,0,0,6
Dr. Robert Coelho,Pediatric Cardiologist, Chennai," MIOT International, Chennai",20,0,0,0,0,0,8
Dr. A.K. Banerji,Neurosurgeon, New Delhi," Medanta - The Medicity, Gurgaon",50,0,0,0,0,0,7
Dr. Arijit Datta,Cardiac Surgeon, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",21,0,0,0,0,0,3
Dr. Uttam Kumar Saha ,Interventional Cardiologist, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",30,0,0,0,0,0,10
Dr. (Col.) Manjinder Singh Sandhu,Interventional Cardiologist, Gurgaon," Artemis Hospital, Gurgaon",27,0,0,0,0,0,5
Dr. Rajneesh Kapoor,Interventional Cardiologist, Gurgaon," Medanta - The Medicity, Gurgaon",18,0,0,0,0,0,2
Dr. W.V.B.S Ramalingam,ENT Surgeon, New Delhi," BLK Super Speciality Hospital, New Delhi",35,0,0,0,0,0,1
Dr. Tejinder Kataria,Radiation Oncologist, Gurgaon," Medanta - The Medicity, Gurgaon",28,0,0,0,0,0,10
Dr. Rama Joshi,Gynaecologist and Obstetrician, Gurgaon,  ,26,0,0,0,0,0,4
Dr. Rajagopalan Krishnan,Spine Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",24,0,0,0,0,0,9
Dr. Anupam Saha,Liver Transplant Surgeon, New Delhi,  ,20,0,0,0,0,0,5
Dr. Vinod Kumar Nigam,General Surgeon, Gurgaon," Max Super Specialty Hospital, Gurgaon",42,0,0,0,0,0,8
Dr Jamshed Dalal ,Interventional Cardiologist, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",37,0,0,0,0,0,9
Dr. Manish Banker ,Infertility Specialist, Ahmedabad,  ,0,0,0,0,0,0,7
Dr Rajesh Jindal ,Medical Oncologist, Kolkata, Fortis Hospital (Anandapur) Kolkata,23,0,0,0,0,0,2
Dr Rajiv Anand,Neurologist, New Delhi," BLK Super Speciality Hospital, New Delhi",35,0,0,0,0,0,2
Dr Bhaba Nanda Das,Cardiac Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",36,0,0,0,0,0,10
Dr. Chandran Gnanamuthu,Neurologist, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",38,0,0,0,0,0,5
Dr Manish Bansal,Interventional Cardiologist, Gurgaon," Medanta - The Medicity, Gurgaon",20,0,0,0,0,0,9
Dr. Suman Lal,Gynaecologist and Obstetrician, Gurgaon,  ,0,0,0,0,0,0,7
Dr. Rajeev Sood,Urologist, New Delhi,  ,0,0,0,0,0,0,7
Dr. Soundappan V,Neurosurgeon, Chennai,", Spine Surgeon",0,0,0,0,0,0,10
Dr. Sushil Kumar Jain,General Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",31,0,0,0,0,0,6
Dr. Sundararajan Sridhar,Endocrinologist, Chennai," MIOT International, Chennai",35,0,0,0,0,0,7
Dr. Gopi Krishna Maddali,Dermatologist, Noida,,30,0,0,0,0,0,3
Dr (Col.) R Ranga Rao,Medical Oncologist, Gurgaon," Paras Hospitals, Gurgaon",30,0,0,0,0,0,4
Dr. Shailendra Lalwani ,Surgical Gastroenterologist, New Delhi,Liver Transplant Surgeon,30,0,0,0,0,0,4
Dr. Srinath Vijayasekharan,Cardiac Surgeon, Chennai," MGM Healthcare, Chennai",21,0,0,0,0,0,1
Dr. Utpal Shah,Cardiac Surgeon, Gandhinagar," Apollo Hospitals, Ahmedabad",28,0,0,0,0,0,4
Dr Hemant Patankar,Hand and Wrist Surgery, Navi Mumbai,,34,0,0,0,0,0,1
Dr. Jaydip Ray,General Surgeon, Kolkata, Medica Superspecialty Hospital,34,0,0,0,0,0,4
Dr. L. N Tripathy,Neurosurgeon, Kolkata, Medica Superspecialty Hospital,31,0,0,0,0,0,7
Dr. Mrinal Bandhu Das,Cardiac Surgeon, Kolkata,,38,0,0,0,0,0,2
Dr. Subhankar Bhattacharya,Cardiac Surgeon, Kolkata, Medica Superspecialty Hospital,35,0,0,0,0,0,5
Dr.  Nand K Panigrahi,Cardiac Surgeon, Visakhapatnam," Apollo Hospital, Vizag",31,0,0,0,0,0,2
Dr. T Narayana Rao,General Surgeon, Visakhapatnam," Apollo Hospital, Vizag",30,0,0,0,0,0,2
Dr. P.K. Bhardwaj,General Surgeon, New Delhi, Saroj Super Speciality Hospital,34,0,0,0,0,0,1
Dr. A.K Rawat,General Surgeon, New Delhi, Saroj Super Speciality Hospital,32,0,0,0,0,0,4
Dr. Saumitra Saha,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,10
Dr. Chandrabhanu Parija,Cardiac Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",39,0,0,0,0,0,9
Dr. Saurajit Patnaik,General Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",30,0,0,0,0,0,2
Dr. Jeyabaul R A,General Surgeon, Chennai," Apollo Specialty Hospitals, Vanagaram",30,0,0,0,0,0,3
Dr. Archana Wani,IVF Specialist, Navi Mumbai," Cloud Nine Hospital, Navi Mumbai",20,0,0,0,0,0,6
Dr. G Kondal Rao,Interventional Cardiologist, Hyderabad," Apollo Hospital, Hyderguda",28,0,0,0,0,0,6
Dr. R.V. Anand  ,Neurologist, Chennai," Vijaya Hospital, Chennai",23,0,0,0,0,0,5
Dr. N S Saradha  ,Gynaecologist and Obstetrician, Chennai,", Infertility Specialist",0,0,0,0,0,0,1
Dr. Sumit Acharya,Interventional Cardiologist, Kolkata," Ruby General Hospital, Kolkata",34,0,0,0,0,0,7
Dr. Uttam Lodh,Urologist, Kolkata," Ruby General Hospital, Kolkata",36,0,0,0,0,0,2
Dr. Sandip Pal,Neurosurgeon, Kolkata," Ruby General Hospital, Kolkata",31,0,0,0,0,0,10
Dr. Santanu Basu ,Stem Cell Specialist, Kolkata," Ruby General Hospital, Kolkata",34,0,0,0,0,0,9
Dr Bikash Banarjee,Gynaecologist and Obstetrician, Kolkata," Ruby General Hospital, Kolkata",30,0,0,0,0,0,6
Dr. Rajan Shah,Neurosurgeon, Mumbai," Nanavati Super Specialty Hospital, Mumbai",30,0,0,0,0,0,9
Dr Nupur Gupta,Gynaecologist and Obstetrician, Gurgaon," Fortis Memorial Research Institute, Gurgaon",20,0,0,0,0,0,7
Dr. V. P. Bhalla,Surgical Gastroenterologist, New Delhi,Colo-Rectal Surgeon,20,0,0,0,0,0,9
Dr. Rajesh Anthony,Interventional Radiologist, Kochi," VPS Lakeshore Hospital, Kochi",13,0,0,0,0,0,8
Dr Sudipto Pakrasi,Ophthalmologist, Gurgaon,  ,0,0,0,0,0,0,2
Dr. Surendra Nath Khanna,Cardiac Surgeon, New Delhi," Fortis Escorts Heart Institute, New Delhi",25,0,0,0,0,0,1
Dr. Rakesh Gopal,, Kochi," VPS Lakeshore Hospital, Kochi",0,0,0,0,0,0,7
Dr. Jyoti Wadhwa,Medical Oncologist, Gurgaon," Medanta - The Medicity, Gurgaon",21,0,0,0,0,0,7
Dr. Anjila Aneja,Gynaecologist and Obstetrician, Noida," Fortis Memorial Research Institute, Gurgaon",27,0,0,0,0,0,5
Dr Vipul Gupta ,Neurosurgeon, Gurgaon,", Spine Surgeon",0,0,0,0,0,0,6
Dr. Hemant Madan,Interventional Cardiologist, Gurgaon," Narayana Superspeciality Hospital, Gurgaon",21,0,0,0,0,0,9
Dr. Tarun Kumar Saha,Nephrologist, Secunderabad," Apollo Hospital, Secunderabad",34,0,0,0,0,0,1
 Dr. M Srinivasa Rao,Interventional Cardiologist, Hyderabad," Apollo Hospital, Hyderguda",30,0,0,0,0,0,2
Dr. Neville Solomon,Pediatric Cardiologist, Chennai," Apollo Hospitals, Greams Road, Chennai",20,0,0,0,0,0,3
Dr. Vineesh Mathur,Spine Surgeon, Gurgaon," Medanta - The Medicity, Gurgaon",28,0,0,0,0,0,9
Dr. Raghunath K J,General Surgeon, Chennai," Apollo Hospitals, Greams Road, Chennai",27,0,0,0,0,0,6
Dr. S V Chandrasekhar Reddy,Orthopaedic and Joint Replacement Surgeon, Secunderabad,Hip Surgery,0,0,0,0,0,0,1
Dr. Balram Airan,Cardiac Surgeon, New Delhi,,40,0,0,0,0,0,1
Dr. Harish Kapila,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,4
Dr V C Parthasarathy,Ophthalmologist, Chennai,Glaucoma Surgeon,,0,0,0,0,0,10
Dr. Rajiv Khanna ,Medical Gastroenterologist, New Delhi," Pushpawati Singhania Research Institute, New Delhi",30,0,0,0,0,0,2
Dr. Rakesh K. Khazanchi,Cosmetic Surgeon, Gurgaon," Medanta - The Medicity, Gurgaon",25,0,0,0,0,0,6
Dr. Bhatiprollu S. Murthy,Orthopaedic and Joint Replacement Surgeon, New Delhi," Max Super Speciality hospital, Patparganj, New Delhi",22,0,0,0,0,0,7
Dr. Rajneesh Malhotra,Cardiac Surgeon, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",23,0,0,0,0,0,3
Dr. Indira Hinduja,IVF Specialist, Mumbai," Jaslok Hospital, Mumbai",46,0,0,1,1,0,6
Dr. Gurdeep Singh Sethi,Medical Oncologist, Gurgaon," Millennium Cancer Center, Gurgaon",30,0,0,0,0,0,10
Dr. Darwin P,General Surgeon, Chennai," Apollo Specialty Hospitals, Vanagaram",30,0,0,0,0,0,10
Dr. Ashutosh Shukla,physician, Gurgaon,,22,0,0,0,0,0,4
Dr. Rakesh Aga,Medical Gastroenterologist, Gurgaon," Max Super Specialty Hospital, Gurgaon",29,0,0,0,0,0,3
Dr. Rajendiran N,Endocrinologist, Chennai," Apollo Hospitals, Greams Road, Chennai",41,0,0,0,0,0,8
Dr. Satish Mathew,Interventional Cardiologist, Noida,,21,0,0,0,0,0,8
Dr. Vijay Shankar S,Cardiac Surgeon, Chennai," Apollo Hospitals, Greams Road, Chennai",30,0,0,0,0,0,8
Dr. Pratik Ranjan Sen,Ophthalmologist, Chennai,Cataract Surgeon,0,0,0,0,0,0,10
Dr. Krishnamoorthy K,Orthopaedic and Joint Replacement Surgeon, Chennai,Hip Surgery,0,0,0,0,0,0,10
Dr. Prasanna Kumar Reddy,Surgical Gastroenterologist, Chennai,Hepato-Pancreato-Biliary Surgeon,0,0,0,0,0,0,2
Dr. Muffazal Lakdawala,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,8
Dr. Deep Goel,Obesity and Bariatric Surgeon, New Delhi,Advanced Laparoscopic,0,0,0,0,0,0,8
Dr. Mainak Malhotra,physician, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",21,0,0,0,0,0,9
Dr. Manjula Bagdi,Gynaecologist and Obstetrician, Chennai,,43,0,0,0,0,0,10
Dr. Gopal Krishan Agrawal ,Orthopaedic and Joint Replacement Surgeon, New Delhi,Arthoscopy and Sports Medicine,0,0,0,0,0,0,7
Dr Sumit Singh ,Neurologist, Gurgaon," Artemis Hospital, Gurgaon",19,0,0,0,0,0,5
Dr. Satish Chandra Chhabra,Nephrologist, New Delhi," Max Super Speciality hospital, Patparganj, New Delhi",46,0,0,0,0,0,6
Dr. Sandeep Mehta,Surgical Oncologist, New Delhi," Fortis Hospital, Shalimar Bagh, New Delhi",22,0,0,0,0,0,3
Dr. Savitri Shrivastava,Pediatric Cardiologist, New Delhi,,59,0,0,0,0,0,2
Dr. Rana Patir,Neurosurgeon, New Delhi,", Spine Surgeon",0,0,0,0,0,0,7
Dr Boochandran T S,Endocrinologist, Chennai," Apollo Hospitals, Greams Road, Chennai",16,0,0,0,0,0,9
Dr. Madhav H Kamat,Urologist, Mumbai," Jaslok Hospital, Mumbai",26,0,0,0,0,0,9
Dr Rakesh Kumar Jain,Paediatric Neurologist, Gurgaon,  ,18,0,0,0,0,0,6
Dr. V K Chopra,Interventional Cardiologist, Gurgaon," Max Super Speciality Hospital, Saket, New Delhi",37,0,0,0,0,0,2
Dr. Aseem Dhall,Interventional Cardiologist, New Delhi," Sir Ganga Ram Hospital, New Delhi",27,0,0,0,0,0,10
Dr. Firuza Parikh,Gynaecologist and Obstetrician, Mumbai," Jaslok Hospital, Mumbai",28,0,0,0,0,0,4
Dr. Sunil Kumar Gupta,Medical Oncologist, New Delhi,  ,27,0,0,0,0,0,2
Dr. Sankar Srinivasan,Medical Oncologist, Chennai," Apollo Hospitals, Greams Road, Chennai",28,0,0,0,0,0,3
Dr. Rajasekar P,Orthopaedic and Joint Replacement Surgeon, Chennai,Knee Surgery,0,0,0,0,0,0,9
Dr. Jem Kalathil,Surgical Oncologist, Kochi, Aster Medcity Kochi,25,0,0,0,0,0,5
Dr. Pranab Kumar Nandy,Nephrologist, Kolkata, Medica Superspecialty Hospital,45,0,0,0,0,0,10
Dr. S. Ramesh,Pediatric Cardiac Surgeon, Bangalore," Cloudnine Hospital, Bangalore",34,0,0,0,0,0,6
Dr. Dharma Rakshak Ayapati,Cardiac Surgeon, Secunderabad," Apollo Hospital, Secunderabad",30,0,0,0,0,0,8
Dr. Dhakshina Murthy,Nephrologist, Hyderabad," Apollo Hospital, Hyderguda",30,0,0,0,0,0,8
Dr. P L Chary,General Surgeon, Hyderabad,Advanced Laparoscopic,0,0,0,0,0,0,5
Dr. K P Srihari Das,Interventional Cardiologist, Bangalore," Manipal hospitals Life's On, Jayanagar",27,0,0,0,0,0,2
Dr. Sunip Banerjee,Cardiac Surgeon, Kolkata," Ruby General Hospital, Kolkata",28,0,0,0,0,0,8
Dr. Plaban Mukherjee,Interventional Cardiologist, Kolkata," Ruby General Hospital, Kolkata",30,0,0,0,0,0,7
Dr. Zayed Ashok Rahman,General Surgeon, Kolkata,Advanced Laparoscopic,0,0,0,0,0,0,6
Dr. Ranjan Kumar Dey,Urologist, Kolkata," Ruby General Hospital, Kolkata",31,0,0,0,0,0,7
Dr. Sabyasaachi Ray,Medical Gastroenterologist, Kolkata,,26,0,0,0,0,0,3
Dr. Prabir Banerjee,Medical Gastroenterologist, Kolkata,,32,0,0,0,0,0,1
Dr. Anjan Dasgupta,Interventional Cardiologist, Kolkata," Ruby General Hospital, Kolkata",30,0,0,0,0,0,1
Dr. Rupal Shah,Ophthalmologist, Mumbai,Glaucoma Surgeon,30,0,0,0,0,0,10
Dr. Neeraj Khunger,Ophthalmologist, Ajmer,Cataract Surgeon,,0,0,0,0,0,8
Dr. JB Singh,Ophthalmologist, Gurgaon," Centre for Sight Eye Hospital, Sector 29, Gurgaon",35,0,0,0,0,0,4
Dr. Lalit Verma,Ophthalmologist, Gurgaon," Centre for Sight Eye Hospital, Sector 29, Gurgaon",35,0,0,0,0,0,9
Dr. Anant Kumar,Urologist, New Delhi,", Urologist and Renal Transplant Specialist",0,0,0,0,0,0,7
Dr. Mayank Chawla,Neurologist, Gurgaon," Max Super Specialty Hospital, Gurgaon",20,0,0,0,0,0,8
Dr. H. S. Bhatyal,Urologist, New Delhi,", Urologist and Renal Transplant Specialist",0,0,0,0,0,0,10
Dr. Kumkum Vatsa,Gynaecologist and Obstetrician, Gurgaon," Fortis Memorial Research Institute, Gurgaon",34,0,0,0,0,0,7
Dr. PL Kariholu,Surgical Oncologist, Noida," Sharda Hospital, Greater Noida",35,0,0,0,0,0,7
Dr. Sajan K Hegde,Spine Surgeon, Chennai," Apollo Hospitals, Greams Road, Chennai",33,0,0,0,0,0,3
Dr. (Brig) Ashok K. Rajput,Pulmonologist, New Delhi," Artemis Hospital, Gurgaon",37,0,0,0,0,0,2
